iter	Passed	Remaining
416	2588	3618
417	2592	3610
418	2598	3602
419	2602	3594
420	2608	3587
421	2613	3579
422	2617	3571
423	2622	3562
424	2626	3554
425	2631	3545
426	2635	3537
427	2640	3528
428	2645	3520
429	2649	3512
430	2654	3504
431	2658	3496
432	2663	3487
433	2672	3485
434	2679	3480
435	2686	3474
436	2690	3466
437	2695	3459
438	2700	3450
439	2704	3442
440	2709	3434
441	2714	3426
442	2718	3418
443	2723	3409
444	2727	3402
445	2732	3394
446	2736	3385
447	2742	3378
448	2746	3370
449	2750	3362
450	2755	3354
451	2760	3346
452	2764	3338
453	2769	3330
454	2773	3322
455	2778	3314
456	2782	3306
457	2787	3298
458	2791	3290
459	2796	3282
460	2801	3275
461	2806	3267
462	2810	3259
463	2815	3251
464	2820	3245
465	2826	3238
466	2836	3237
467	2847	3237
468	2856	3234
469	2862	3228
470	2867	3221
471	2873	3214
472	2879	3208
473	2886	3203
474	2893	3198
475	2900	3193
476	2908	3188
477	2914	3182
478	2921	3177
479	2929	3173
480	2937	3169
481	2944	3164
482	2952	3159
483	2959	3154
484	2967	3151
485	2976	3148
486	2988	3147
487	2996	3143
488	3003	3138
489	3009	3132
490	3016	3127
491	3023	3121
492	3030	3116
493	3036	3110
494	3043	3104
495	3050	3099
496	3057	3094
497	3065	3089
498	3072	3084
499	3079	3079
500	3085	3073
501	3092	3068
502	3100	3063
503	3108	3058
504	3115	3054
505	3122	3048
506	3130	3043
507	3136	3038
508	3142	3031
509	3149	3025
510	3155	3019
511	3161	3013
512	3170	3009
513	3178	3005
514	3185	3000
515	3193	2995
516	3202	2991
517	3210	2987
518	3218	2982
519	3225	2977
520	3234	2973
521	3240	2967
522	3246	2961
523	3254	2955
524	3261	2950
525	3269	2945
526	3275	2939
527	3281	2933
528	3292	2931
529	3305	2930
530	3317	2929
531	3325	2925
532	3331	2919
533	3336	2911
534	3341	2904
535	3346	2897
536	3351	2889
537	3357	2882
538	3364	2877
539	3371	2872
540	3378	2866
541	3385	2860
542	3391	2854
543	3396	2847
544	3401	2840
545	3406	2832
546	3411	2825
547	3416	2818
548	3421	2811
549	3426	2803
550	3432	2796
551	3436	2789
552	3441	2781
553	3446	2774
554	3450	2766
555	3455	2759
556	3460	2752
557	3465	2744
558	3470	2737
559	3475	2730
560	3480	2723
561	3485	2716
562	3490	2709
563	3495	2702
564	3500	2695
565	3505	2687
566	3510	2680
567	3515	2673
568	3520	2666
569	3525	2659
570	3530	2652
571	3536	2646
572	3542	2639
573	3548	2633
574	3554	2626
575	3559	2620
576	3565	2613
577	3571	2607
578	3577	2601
579	3582	2594
580	3588	2588
581	3594	2581
582	3600	2575
583	3605	2568
584	3610	2561
585	3616	2554
586	3621	2548
587	3627	2541
588	3633	2535
589	3638	2528
590	3644	2521
591	3649	2515
592	3655	2509
593	3661	2502
594	3667	2496
595	3673	2490
596	3679	2483
597	3684	2476
598	3694	2473
599	3705	2470
600	3713	2465
601	3719	2459
602	3725	2452
603	3730	2445
604	3736	2439
605	3741	2432
606	3747	2426
607	3753	2420
608	3758	2413
609	3763	2406
610	3767	2398
611	3772	2391
612	3777	2384
613	3782	2377
614	3787	2371
615	3792	2363
616	3796	2356
617	3801	2350
618	3806	2342
619	3811	2336
620	3816	2329
621	3820	2322
622	3826	2315
623	3830	2308
624	3835	2301
625	3841	2295
626	3847	2288
627	3853	2282
628	3858	2276
629	3864	2269
630	3870	2263
631	3876	2257
632	3881	2250
633	3886	2243
634	3890	2236
635	3895	2229
636	3900	2222
637	3905	2215
638	3909	2208
639	3915	2202
640	3920	2195
641	3926	2189
642	3933	2184
643	3939	2177
644	3945	2171
645	3951	2165
646	3957	2158
647	3962	2152
648	3968	2146
649	3973	2139
650	3980	2134
651	3987	2128
652	3994	2122
653	4001	2117
654	4008	2111
655	4014	2105
656	4020	2099
657	4025	2092
658	4031	2085
659	4036	2079
660	4041	2072
661	4046	2066
662	4051	2059
663	4055	2052
664	4061	2045
665	4066	2039
666	4070	2032
667	4075	2025
668	4080	2018
669	4084	2011
670	4089	2005
671	4095	1998
672	4104	1994
673	4112	1989
674	4121	1984
675	4126	1977
676	4131	1970
677	4135	1964
678	4140	1957
679	4145	1950
680	4150	1944
681	4154	1937
682	4159	1930
683	4164	1923
684	4168	1917
685	4173	1910
686	4178	1903
687	4183	1897
688	4188	1890
689	4192	1883
690	4197	1877
691	4202	1870
692	4206	1863
693	4210	1856
694	4214	1849
695	4219	1842
696	4223	1836
697	4228	1829
698	4232	1822
699	4237	1816
700	4241	1809
701	4246	1802
702	4250	1795
703	4255	1789
704	4259	1782
705	4264	1775
706	4269	1769
707	4273	1762
708	4278	1755
709	4282	1749
710	4286	1742
711	4291	1735
712	4297	1729
713	4301	1723
714	4306	1716
715	4310	1709
716	4315	1703
717	4319	1696
718	4324	1690
719	4328	1683
720	4333	1676
721	4338	1670
722	4342	1663
723	4347	1657
724	4352	1650
725	4356	1644
726	4360	1637
727	4365	1631
728	4370	1624
729	4374	1617
730	4379	1611
731	4383	1605
732	4388	1598
733	4393	1592
734	4397	1585
735	4402	1579
736	4407	1572
737	4412	1566
738	4417	1560
739	4421	1553
740	4426	1547
741	4431	1540
742	4435	1534
743	4440	1527
744	4445	1521
745	4450	1515
746	4455	1508
747	4460	1502
748	4465	1496
749	4470	1490
750	4475	1483
751	4480	1477
752	4486	1471
753	4490	1465
754	4495	1458
755	4500	1452
756	4505	1446
757	4511	1440
758	4516	1433
759	4520	1427
760	4525	1421
761	4530	1414
762	4534	1408
763	4539	1402
764	4554	1399
765	4563	1393
766	4569	1388
767	4573	1381
768	4578	1375
769	4583	1369
770	4590	1363
771	4597	1357
772	4603	1351
773	4609	1345
774	4614	1339
775	4619	1333
776	4624	1327
777	4631	1321
778	4636	1315
779	4642	1309
780	4650	1303
781	4656	1298
782	4664	1292
783	4671	1286
784	4678	1281
785	4684	1275
786	4692	1270
787	4699	1264
788	4705	1258
789	4712	1252
790	4719	1246
791	4726	1241
792	4732	1235
793	4740	1229
794	4745	1223
795	4751	1217
796	4758	1211
797	4764	1206
798	4771	1200
799	4777	1194
800	4783	1188
801	4789	1182
802	4795	1176
803	4800	1170
804	4806	1164
805	4811	1158
806	4817	1152
807	4824	1146
808	4829	1140
809	4836	1134
810	4843	1128
811	4848	1122
812	4855	1116
813	4860	1110
814	4866	1104
815	4871	1098
816	4876	1092
817	4881	1086
818	4888	1080
819	4893	1074
820	4899	1068
821	4904	1061
822	4908	1055
823	4914	1049
824	4919	1043
825	4924	1037
826	4929	1031
827	4934	1025
828	4939	1018
829	4944	1012
830	4950	1006
831	4955	1000
832	4960	994
833	4965	988
834	4970	982
835	4975	975
836	4980	969
837	4984	963
838	4989	957
839	5000	952
840	5011	947
841	5018	941
842	5023	935
843	5028	929
844	5033	923
845	5039	917
846	5044	911
847	5049	905
848	5054	899
849	5060	893
850	5066	887
851	5071	880
852	5076	874
853	5081	868
854	5087	862
855	5092	856
856	5098	850
857	5102	844
858	5108	838
859	5113	832
860	5118	826
861	5124	820
862	5131	814
863	5136	808
864	5143	802
865	5148	796
866	5154	790
867	5160	784
868	5165	778
869	5170	772
870	5177	766
871	5183	760
872	5189	754
873	5195	749
874	5201	743
875	5207	737
876	5213	731
877	5219	725
878	5226	719
879	5231	713
880	5238	707
881	5244	701
882	5249	695
883	5255	689
884	5260	683
885	5266	677
886	5271	671
887	5277	665
888	5283	659
889	5290	653
890	5295	647
891	5300	641
892	5306	635
893	5311	629
894	5316	623
895	5322	617
896	5327	611
897	5333	605
898	5340	599
899	5345	593
900	5351	587
901	5357	582
902	5362	576
903	5369	570
904	5375	564
905	5380	558
906	5386	552
907	5391	546
908	5398	540
909	5415	535
910	5426	530
911	5434	524
912	5440	518
913	5458	513
914	5465	507
915	5473	501
916	5480	496
917	5487	490
918	5495	484
919	5504	478
920	5514	472
921	5521	467
922	5529	461
923	5537	455
924	5545	449
925	5552	443
926	5560	437
927	5567	431
928	5573	425
929	5580	420
930	5586	414
931	5591	407
932	5598	402
933	5605	396
934	5613	390
935	5619	384
936	5627	378
937	5634	372
938	5642	366
939	5648	360
940	5653	354
941	5660	348
942	5666	342
943	5672	336
944	5679	330
945	5684	324
946	5690	318
947	5695	312
948	5701	306
949	5707	300
950	5713	294
951	5718	288
952	5725	282
953	5731	276
954	5737	270
955	5743	264
956	5749	258
957	5755	252
958	5762	246
959	5767	240
960	5774	234
961	5779	228
962	5784	222
963	5795	216
964	5811	210
965	5825	205
966	5831	199
967	5839	193
968	5845	187
969	5852	181
970	5859	175
971	5866	168
972	5873	162
973	5880	156
974	5887	150
975	5893	144
976	5900	138
977	5906	132
978	5912	126
979	5919	120
980	5924	114
981	5930	108
982	5936	102
983	5945	96
984	5953	90
985	5959	84
986	5965	78
987	5972	72
988	5980	66
989	5986	60
990	5992	54
991	5999	48
992	6006	42
993	6014	36
994	6022	30
995	6028	24
996	6034	18
997	6040	12
998	6047	6
999	6055	0
