iter	RMSE
0	0.4716786697
1	0.4450026831
2	0.4198097246
3	0.3960695292
4	0.3736957535
5	0.352514654
6	0.3325860281
7	0.3137659218
8	0.2959934415
9	0.2792766504
10	0.2634692936
11	0.2486056092
12	0.2345381026
13	0.2213142985
14	0.2087781812
15	0.1969869294
16	0.1858380711
17	0.1753299543
18	0.1654083468
19	0.156048707
20	0.14725127
21	0.1389259635
22	0.1310803452
23	0.1236768305
24	0.116677858
25	0.1100966094
26	0.1038750991
27	0.09799763534
28	0.09247289385
29	0.08726743528
30	0.08233595373
31	0.07768014273
32	0.07330445289
33	0.06916044117
34	0.06528565891
35	0.06159365476
36	0.05811325446
37	0.05483667312
38	0.05174726825
39	0.04882615216
40	0.04607114473
41	0.04347477685
42	0.04103065778
43	0.03871818366
44	0.03654809418
45	0.0344898254
46	0.03255587009
47	0.03072700163
48	0.02900195856
49	0.02738743703
50	0.02585654619
51	0.02440966379
52	0.02304502895
53	0.02176134076
54	0.02055114068
55	0.01941118355
56	0.01833358754
57	0.01731857791
58	0.01636282041
59	0.01546273287
60	0.01461524791
61	0.01381748365
62	0.01306787621
63	0.01236114327
64	0.01169539364
65	0.01106921266
66	0.01048152077
67	0.009927738611
68	0.009404103033
69	0.008915926197
70	0.008456901563
71	0.008026615631
72	0.007623995759
73	0.007244386824
74	0.006890131163
75	0.006558368365
76	0.00624871652
77	0.005959829557
78	0.005690524571
79	0.005440011719
80	0.005206324368
81	0.004988483396
82	0.004785687906
83	0.004593108931
84	0.004417742303
85	0.00424663015
86	0.004095679134
87	0.003956483697
88	0.003819102734
89	0.003698249402
90	0.003579655355
91	0.003476213733
92	0.003380538414
93	0.003284272682
94	0.00318912434
95	0.003105010029
96	0.003030758072
97	0.002967795569
98	0.002898852182
99	0.002833786215
100	0.002776397916
101	0.002721281911
102	0.00266499451
103	0.002616642711
104	0.00256788863
105	0.002525504852
106	0.002485952767
107	0.002446726947
108	0.002412342808
109	0.002377932372
110	0.002345203675
111	0.00231837082
112	0.002292496549
113	0.002265558942
114	0.002237376449
115	0.002214553019
116	0.002192127806
117	0.002171849932
118	0.002152611686
119	0.002135282273
120	0.002118564812
121	0.002101035095
122	0.002083881544
123	0.002069175599
124	0.002054117213
125	0.002040953026
126	0.002027019351
127	0.002013279321
128	0.002000108175
129	0.001988188106
130	0.001976803644
131	0.001965816259
132	0.001955152874
133	0.001945414755
134	0.001934581581
135	0.001923773556
136	0.001913700061
137	0.001902733599
138	0.001893869271
139	0.001886965394
140	0.001879410878
141	0.001869160761
142	0.001860610113
143	0.001852067154
144	0.001843865696
145	0.001835616768
146	0.001826304905
147	0.001819564209
148	0.001808794451
149	0.001801724127
150	0.001792735436
151	0.001785894599
152	0.001780055225
153	0.001770100353
154	0.001763090333
155	0.001754960467
156	0.001746881435
157	0.001742189892
158	0.001736286059
159	0.001727229967
160	0.001721971144
161	0.001714424952
162	0.001707312916
163	0.001698633776
164	0.001692224622
165	0.001687231819
166	0.001680664006
167	0.001675025205
168	0.001666767216
169	0.001660764409
170	0.001654684423
171	0.001648279637
172	0.0016405774
173	0.001634981956
174	0.00162996611
175	0.001624509904
176	0.001615627173
177	0.001610917743
178	0.001606932576
179	0.001601640841
180	0.001594900857
181	0.001587177646
182	0.001579572259
183	0.001572889004
184	0.00156663351
185	0.001561774858
186	0.001557629585
187	0.00155144354
188	0.001544608028
189	0.001540628427
190	0.001533211807
191	0.001526742629
192	0.001521430586
193	0.00151763902
194	0.001512513462
195	0.001505918308
196	0.001500068989
197	0.001493527761
198	0.001487176536
199	0.001481404575
200	0.001477856589
201	0.001472815502
202	0.001467865278
203	0.001463892044
204	0.00145732586
205	0.001451758048
206	0.001444629614
207	0.001439929261
208	0.001434361107
209	0.001428553945
210	0.00142261654
211	0.001416288153
212	0.001411523125
213	0.00140750412
